text,label_id,ds
@elchavaloko who cares tbh ones a shitty dirty Argentino &amp; the other is a feather fisted nigger,1,hate
"@midgetmadz shut your dirty dirt trap you limp knees, ashy footed, blue balls, isolated hamster wheel, no nipples bitch",1,hate
"'Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm",1,hate
RT @Ride907: If some little fucking faggot spits in my food I swear to god id tear your fucking arms off http://t.co/EQociANZ77,1,hate
I bet you think you a no-chill savage huh. Fucking faggot @KILLSemaj,1,hate
Can't stand that faggot.,1,hate
Only faggots use white ds's,1,hate
I just want to punch you in the throat when you get my order wrong stupid bitch at sonic,1,hate
RT @Carlozxivir: @VocaToaster ching chong,1,hate
pure trash http://t.co/A2RbVEBeg1,1,hate
We hate you too lil nicca! Lol RT @redfernave: I Hate The Steelers Dawg,1,hate
@pombuenaa I'm surprised you could read it with slits for eyes,1,hate
Kim Kardashian look like a tranny with all that surgery,1,hate
@tiffantasticc your dad is genuine happy guy because his kids aren't niggers though &#128532; jimmy is my nigga 5eva,1,hate
@_Nadiaxo fags,1,hate
"Obama&#8217;s faves: Muslims, black ghetto trash http://t.co/qTfjRAijwn via @worldnetdaily",1,hate
"@teenagesleuth .we got 1, except eric holder gave them 2 the beaners 2 kill americans! guess he is race blind!",1,hate
RT @Unorthodex: Nah I hate white people now since he looks like a dyke RT @ElBasedParko: I think he just ended racism http://t.co/VgjYHn4bvt,1,hate
Hate this dyke,1,hate
@IGGYAZALEA it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,1,hate
@lcxancilleri faggot,1,hate
RT @Nekkohbk: I stopped caring about mcm when I noticed dykes where getting chose before me,1,hate
@_TurnDownDre @kushdaddycorr lmao you stupid nigger,1,hate
Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1,hate
@kyleefagnola call him a cock blocking faggot,1,hate
"GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one. 
 http://t.co/y09Waoe4EM&#8221;",1,hate
"@sweetakin Only rich white liberals know what's best for black people. If they don't see that, they're obviously Uncle Toms.",1,hate
Eagles fuck around &amp; lose it'll be kill the cracker at the Sophi crib smfh,1,hate
@sramirez07943 it's goldbar dumb bitch and no my dad wouldn't pick you up he doesn't like faggots like you &#128528;&#128076;&#128079;,1,hate
Chicks love these ugly hipster faggots. Prolly cause they look like the dad that was never in their life.,1,hate
Southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working.,1,hate
@DanielSizelove @Conrad_MLG get on cunt,1,hate
@delaney_guinan a faggot that needs to grow up,1,hate
Fuck u niggas gonna do not a mfka thing oh bitch ass wack ass nigga y'all some fake ass people,1,hate
The blacks in #California are typical niggers.,1,hate
@kirstynehbu faggot,1,hate
"Chill RT @PhillyTheBoss If I ever become president Imma ban Henny from America..... For a Day, just to see you negroes panic. ""gotcha bitch""",1,hate
"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day",1,hate
@Zwaaad fag,1,hate
@MillerLite I don't follow you because everything about your company is white trash.,1,hate
"Only word I can understand on #BlackJesus is ""nigger""... Heavily disappointed in this show. AaronMacgruder stuff blows, IMO.",1,hate
Already more yellows than the last 2 years combined #IndyCar #Honda200,1,hate
@Shvkxir @RickiRoma @BaeSongz @JayZOverrated Ahmed and retard mikey for special Olympic boxing,1,hate
Know why the ultimate warrior died? God LOVES fag #toosoon ? He was an anti-gay crusader so a little light jokes are necessary,1,hate
"What be the peckin order?
1 white Christian
2 colored
3 Porto Ricans 
4 Arab 
5 Jews 

I donts know. I be axin",1,hate
I need to chat with @SpaceJam_Teeg . Where dat nicca at? Lol,1,hate
It's a lot of Uncle Tom ass niggas out here.,1,hate
Lmao Lebron's expression says it all RT &#8220;@InkMyHoleBody: This nigga is a fuckin faggot https://t.co/GSGhiZMdmW&#8221;,1,hate
"Why does this faggot in front of me have to get two dozen doughnuts right now, get the fuck on",1,hate
"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",1,hate
RT @VaTxn: Illegal alien is not a race. It's a crime. @MuchoMacho @McDonalds @jeandeaux1776 @cspanwj #wetbacks http://t.co/pf2YpelyOP,1,hate
"@HeilSidious Sion is a faggot. Very meh ganks pre-6 and post-6 his ganks are still pretty meh he's just a tank, nothing special imo Mao +",1,hate
"@moneydriven @2ManyLouboutins glad about your uncle, another stupid faggot off the world, hopefully you next.",1,hate
I missing something of my ofay friends. Day all scared by da recent happenings. Don't chu worry...ol Lamar say you like da colored folk,1,hate
"People who enjoy shows like @SouthPark and @FamilyGuyonFOX are douche bags. Usually white trash, too.",1,hate
@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake because she's a nigger,1,hate
George michael such a fag,1,hate
"I'm literally laughing in shock, amazement, joy. In...just everything. In everything! Pop the champagne American queers. We have arrived.",1,hate
#WestVirginia is full of white trash.,1,hate
"Flaming faggots that publicly state how they want everything handed to them... Like fuck you dude, get off your bottom ass and do something",1,hate
@TweetfrmtheSole it&#8217;s the entire pats bandwagon. They&#8217;re faggots,1,hate
RT @MrHoratioSanz: Vin Scully once called me a camel jockey. #liesaboutvinscully,1,hate
You are a jiggaboo...!,1,hate
Faggot ass bitch nigga,1,hate
@coffincreepxx you had to throw in the faggot word smh smh smh,1,hate
"Look at this coon ass nigga here..... Standing on a damn toilet, looking around for his manhood...&#8230; http://t.co/3WyPsnRLu3",1,hate
This week's RFN segment is in the can. I discuss Idaho being a faggot marriage state just like Washington.,1,hate
@kristin12909 better nig. Lol but if anything ill flip u the 10 or something. Im tryna get some more cash,1,hate
they shot another monkey lmaooooooooooo,1,hate
"@iNURSELISA @blackredsoxfan 
It's a nice way of callin y'all honkies",1,hate
@RunuldoRants faggot sack,1,hate
@InTheOvenJews @SlaveCatcher88 @marylene58 we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.,1,hate
"@dolphrudager You don't have any kids?! What are you, one of them queers!?",1,hate
"RT @NIGNORAMUS: Here's how your ""suggestion"" plays out @piersmorgan 

Racist: ha, those niggers stopped callin each other nigga 

The end",1,hate
"RINO trash like @SpeakerBoehner, @KarlRove, @FrankLuntz see conservatives as the Democrat Party see blacks. As their slave property. #tcot",1,hate
@Sarakateee @FaZe_Rain I wouldn't be proud that faze is in your family. He's horrible for one and two he's ugly trailer trash... #fazeisgay,1,hate
@DangItsTiff you look like fucking shrek bitch,1,hate
"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!",1,hate
"@JizzAtTheScene and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days.",1,hate
"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta""",1,hate
"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room",1,hate
@Im_Thirst randies are fags,1,hate
"RT @DaTbOySmOkEyy: Shawty said you not gone understand america unless you went to a PWI school, crackers already brainwashed her smh lol",1,hate
they're working on a bill to prevent retards from voting. who knew retards COULD vote? things are starting to make sense now.,1,hate
Gay ass nigga &#128514;&#128514; bitch you thought you thought,1,hate
@YourDudeFerg gay fags,1,hate
If someone is part of 'James X' then he's a white trash cultist.,1,hate
So niggers really believe Phelps just smokin on a regular huh? Tell me now &amp; I'll log off for the night,1,hate
"@AnthonyCumia 
You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value",1,hate
"RT @MidniteBoss: If you snipe, you're a fucking faggot. I fucking hope all of you snipers get fucking raped and suffer from cancer.",1,hate
@brrrrangadang this nigga &#128529;&#128529;.. know damn well you a coon,1,hate
@Hovaa_ #niggerfood #niggerperson #you #are #a #nigger,1,hate
This nigga jerry room smell like bad pussy!&#128530;,1,hate
"His big ass smile, his eyes is chink.",1,hate
@StephyRae7 faggot.,1,hate
RT @anthonycampos23: Lebron your still a bitch you suck nigger hope you die,1,hate
Damn @JustDoMe_ &amp; his nigger music waking up the whole school in the morning .. &#128664;&#127926;&#128543;,1,hate
RT @Isa__Lopez: @D_Lo520 but you're still a faggot,1,hate
RT @GMB_Ace: I'm a Get Money nigga So da hoes Love me,1,hate
"@_IAMKEN you'll make the team, them niggas trash. Lol",1,hate
RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p,1,hate
"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",1,hate
"Sheeple just like &#128073;@sweetpotatertot:OH those ""racist"" ""sexist"" ""teabaggers""who just elected these two old white men. http://t.co/x3BwNM3jiI&#8221;",1,hate
@GrizzboAdams @wyattnuckels haha ight nig calm yoself,1,hate
#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG,1,hate
RT @Im_Thirst: That nigger made the shit out of my coffee.,1,hate
@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe,1,hate
It stinks in here must be then pussy ass niggas talkin shit #tomyfacebro test me,1,hate
"Not All Straight Men - I am frustrated. Unlike on OKCupid, queer folks don&#8217;t have the ability to block... http://t.co/hBF2xZa0ke",1,hate
"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.co/uyjGzuX4Cc&#8221; bitch wut?",1,hate
You a real life faggot if you ever fight another man because he fucked your girl. You just gotta take that L like a man and move on,1,hate
People are fucking retarded lol,1,hate
Fuck you ghetto ass coons,1,hate
"RT @ChingonAbe: &#8220;@staycoolwheels: @mjs79 well he is at Genos. So he is the ultimate faggot&#8221;
@elmaestro1 got to show this queer how to eat &#8230;",1,hate
@WyattNuckels @grizzboadams shut the fuck up fag ill beat the shit outta you,1,hate
"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;",1,hate
The #midwest of the US is white trash.,1,hate
Black cops want to kill white citizens. Spic cops want to kill Anglo citizens. Zigeuner cops are all rapists.,1,hate
"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",1,hate
faggot http://t.co/tkPokv3ncd,1,hate
@JRise88 shut up you stupid bitch,1,hate
"@LokiHulibele @mediacrooks @AamAadmiParty They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards",1,hate
"@Fugazi3011 ""leave you beaner retard""",1,hate
I ain't been to the fair since I was like 8 and I haven't wanted to go since then either for some reason. Too many niggers for me,1,hate
@Qui_ThePharaoh @zApollo0803 @MildlyDarkSkin hes a lying faggot. he used inspect element to change the number of dollars in his account.,1,hate
You have my word we will RT @JRwrz: @Thotcho beat those fucking faggots pls,1,hate
RT @TheChrisCates: Look at this faggot http://t.co/db7SIri8qg,1,hate
@leiacatherinexx don&#8217;t be a hurt little faggot,1,hate
@vj44 did I mention you are an ugly cunt? Go back to Iran.,1,hate
@zeitgeistbabe I hear Bill likes trailer trash like you. @LincRomero7 @JTStover @TheObamaDiary @RebHug @Loriisright,1,hate
RT @LiamGeraldShone: @vernon1488 @AranNicolWHUFC @DSaend get fucked you racist inbred hillbilly fuck,1,hate
Smh u niggers &amp; ur music knowledge,1,hate
@SAMMI_boyden well he's a cunt and he can suck my ass,1,hate
I hate all these industry fags. I hope they all get the Nigerian Summer Flu,1,hate
@TheErniie You're a little bitch.,1,hate
"RT @Theprinceofnj: &#8220;@SMCo71: "" if you aint bout that Murder Game pussy nigga shut up ""&#8221;252 GANG &#128514;&#128514;&#128514;&#128514;&#128514;",1,hate
"Just watched the scene in zero dark thirty where they pop Osama's bitch ass 
#U #S #A",1,hate
@phishlicia I'm 5'8 fag &#128536;&#128536;,1,hate
Worlds biggest faggot lol,1,hate
Lol RT @JayFucknHarris: Youuuuu got niggas but I don't got bitches,1,hate
RT @harmon_lauren: Jenna's a faggot,1,hate
RT @InfidelAlie: Yay for America &amp; Israel... we put in more Jew Hating muslim trash into our government! pathetic &amp; sickening,1,hate
Good Mernin faggots http://t.co/3ZPTPqFkTl,1,hate
@mimiswagnotes You are an ignorant cunt.,1,hate
The reason Shelby hates sandwiches is because he is a queer. @RonandFezSXM,1,hate
RT @Fucking_Garza: I wanna sleep but I'm outside with this nigger lol trying to hang him,1,hate
"Playing to white guilt lasted one last time, whitey felt 'absolved', it ends today. It ends in the fields/suburbs of Pennsylvania.",1,hate
@JaiBrooks1 not funny u faggot,1,hate
"RT @useemitch: 1, 2, 3, 4... how many niggers are in my store, I knooooooow your stealing! &#128514;&#128514;&#128514;",1,hate
"Somebody couldve been like ""aye man you dropped your money"" but nooooooo fucking broke faggots selfish bastards i hate yall",1,hate
@whiteangelss84 y dont u end us monkeys then? U hate us because were better than crackers &amp; I love it. Deep down u know weve done nothin 2 u,1,hate
RT @alexishope_2014: You got niggas &amp; I got bitches but I want you... &#128149;&#127926;,1,hate
RT @cigarsNscotch: What's black and yellow and not going to win this year? WRONG! The answer is Tiger Woods.,1,hate
